Gitcoin Round Id,Gitcoin Grants #,Round Name,Gitcoin Project Id,Application Title,Matching Amount,# of Contributors,Contribution Amount
9,20,Token Engineering QF Grants Round: Spring 2024,0xaa57e092bd3351948df6efb86191e742c98016bfb02df621b86dde05880d40a1,"Pairwise: Simplifying Choices, Amplifying Voices",0.0,45,122.62067191297501
9,20,Token Engineering QF Grants Round: Spring 2024,0xbc0c38f75ec02f37af3c6cc5acef9951e0f69c0b49a26e9bf680b1fbcf4f76cb,Turtleshell,0.0,31,242.55365250259638
9,20,Token Engineering QF Grants Round: Spring 2024,0xbe06726f599e6b4bd2b62abe149983d7181f651dac949f3ea04fefa5d6455e55,Kairos Research,0.0,73,502.20441539213061
9,20,Token Engineering QF Grants Round: Spring 2024,0xc38085c70302514af4aaf56a46fdb31c0acb6ae29cfc15fd1cf004902f2eed21,Crypto Commons Association,0.0,49,325.86547706276178
9,20,Token Engineering QF Grants Round: Spring 2024,0xcf11630dc86ab8f11b4da861f737540108c8a0b58c26b592c7734c1d67f2245e,The cadCAD Foundation,0.0,85,289.9382898844251
9,20,Token Engineering QF Grants Round: Spring 2024,0xd0a20305ec0f8817a697447a80b59db2772df8cf03ab6e2e4cc266567327fb52,Gobying,0.0,57,754.44073837995529
9,20,Token Engineering QF Grants Round: Spring 2024,0xe3c5497e3073669d3788a015ce9e89fd2ba14028af892c613b7dad8e742d7b46,1Hive Gardens,0.0,42,145.42694953451246
9,20,Token Engineering QF Grants Round: Spring 2024,0xecbb293513e9d1f104645a6adfa636f216648facfed9394405264596ffa60b09,Moos Modular Money Framework,0.0,35,141.38675329834223
9,20,Token Engineering QF Grants Round: Spring 2024,0xf828b825d535b1f80699d17c59e1f98ac9c157d9e529231d6ab50ad7bf3f6cf5,$EARTH - OSS,0.0,32,107.82406058907509
9,20,Token Engineering QF Grants Round: Spring 2024,0x9419b95649be555380b4aea50155f6921f1057993bdd79eda92f2a2c0b33bbee,Lived experience-based Weighted Voting Mechanism Design,0.0,30,273.47536585479975
9,20,Token Engineering QF Grants Round: Spring 2024,0xa37658ed45bb954b5bc89672cfaf820200500a7bfeb0f9e0333a1ec5dfa64292,Super DCA: Innovating Decentralized Finance with Time-Weighted Average Market Making,0.0,169,1886.70579187572
9,20,Token Engineering QF Grants Round: Spring 2024,0x23e24c26ee9c0e22b4682f34631b62c59a6eaff7419f93c9c001315e740f676b,DeFinomics Labs,0.0,47,411.01307992637157
9,20,Token Engineering QF Grants Round: Spring 2024,0x77ad10f6532a1fe22e28870d7f4d73eb3b05331c9470ebf1356aed5d5a9ef240,Bonding Curve Research Group (BCRG),0.0,66,356.17657924810737
9,20,Token Engineering QF Grants Round: Spring 2024,0x017cc70946e91d8d0c99c9fe98e0627854e9f23df8ff78e64f6e1be2822ebde5,Network of Trust,0.0,60,250.98222453892231
9,20,Token Engineering QF Grants Round: Spring 2024,0x1aeef6017a648aa54fa27a65664ecb26c34e113c813b05e8d3f16b84cc45c323,"C–ATTS, Composite Attestations",0.0,29,124.49327707290649
9,20,Token Engineering QF Grants Round: Spring 2024,0x2407ce2fcd01ecc5096a6e79cf3db70ec5d4dd81626740afb0b1023e201c4b24,HonorCode,0.0,15,27.026367425918579
9,20,Token Engineering QF Grants Round: Spring 2024,0x3438002cc3cf9cb80519485ae44ae77d0320cbd376653720aa84796f0931a05e,Commons Stack,0.0,100,350.22395100811809
9,20,Token Engineering QF Grants Round: Spring 2024,0x71796853285df4330ab451e4ad0698ef0d1996489ea453016791ed9341b935ef,Casually Looped,0.0,28,65.466757103800774
9,20,Token Engineering QF Grants Round: Spring 2024,0x94f36635e8aaa3bda6839c1cacaca205d052333dbced3618c883095416bd81ae,SymVal,0.0,25,61.829818531870842
9,20,Token Engineering QF Grants Round: Spring 2024,0xebbb5975b9287212f48472fdd32f353505612cb7ed32432bbc482175dce627c2,EVMcrispr,0.0,34,149.56421373039484
9,20,Token Engineering QF Grants Round: Spring 2024,0x372fc74bc7a101e1608769ca917fcc014a5455eae9d780ebca483702a1a343b9,Token Engineering Dialogues,0.0,47,187.14201913028955
9,20,Token Engineering QF Grants Round: Spring 2024,0x6e16ed35e9c46115e7fb5ba2bbe83f7d35f330b16af66410e7025951ae9a7b82,Streaming Quadratic Funding,0.0,61,473.87626267969608
9,20,Token Engineering QF Grants Round: Spring 2024,0x8f34bacb77437c6106a90913ed6c580b640ed3ca94ee17c1fa86efdf86eb22e3,Tokenization for Inflation-Alleviation,0.0,15,109.75429993867874
9,20,Token Engineering QF Grants Round: Spring 2024,0xa85846ff84be765917ff18d1302d7cbdc0acf225edcac0ecddd72d369dc804d6,NERD DAO: Decentralized Science and Web3 Innovation,0.0,25,60.047264911234379
9,20,Token Engineering QF Grants Round: Spring 2024,0xc40ec80fa730472b3584b2da1ed3e43c26b494d8b384d6f12ab761e9d83ad82c,Armitage,0.0,37,125.68142328033537
9,20,Token Engineering QF Grants Round: Spring 2024,0x91d6de0fc79b6a1c3c89a208b8083260bee0547991c0d01923b06da4f28aec57,Index Wallets,0.0,31,135.1339022032389
9,20,Token Engineering QF Grants Round: Spring 2024,0xcb644adff5d7ac911ccf7769d837b15b7b979a5a5771c3482ef70d5f1e46f5f6,Metrics Garden Labs,0.0,70,314.16176755348533
9,20,Token Engineering QF Grants Round: Spring 2024,0x318cd6daa8ae7afc3c051f9fa809e04641e34babf6bbe3b96eab7aa2a6c767cc,Change Code,0.0,32,541.77563220262527
9,20,Token Engineering QF Grants Round: Spring 2024,0x6a10904eb40d73ad7db6807abc680848f31c0f08c9efebd3ab416282f767a1f8,Trusted Seed: A value-driven community advancing Regen Economies,0.0,68,279.760509565099
9,20,Token Engineering QF Grants Round: Spring 2024,0xf950b4748fc24df033c021936537a037929a635d3933072f5877b83df0dfddb3,$REGEN Tokenomics DAO,0.0,49,193.97218801081181
9,20,Token Engineering QF Grants Round: Spring 2024,0x1eb6bbad0896e16d57cca476cb0a37f0adf1dede385378d8f65224a09bc8fa51,Breadchain Cooperative,0.0,60,211.16457098722458
9,20,Token Engineering QF Grants Round: Spring 2024,0x73b8a33232d9c2d55a8336d440cb9adb07a22d7502aef64f00bd1ebea273d0e3,ProtocolGuard：AI-Driven Exploring Potential Malicious Strategies in PAMMs & SAMMs,0.0,32,110.08320678770542
648,22,GG22: Crypto Advocacy,0xfe52cd978403356b33662a384cf084a1f7d0b9d28e0f2369e6ff1b49a86a780c,DeFi Education Fund,9240.282196875,84,578.26452868472552
648,22,GG22: Crypto Advocacy,0x4aef44f3c5f7135c0f6e41041473cf32bee54d6e1b715174ff34060631d3411f,Blockchain Association,19990.875,393,665.55898152221926
648,22,GG22: Crypto Advocacy,0x91ef76af3009f3690f9e59fbb691313282dfb56140b65fedf968aa3cd474db08,Stand With Crypto,19990.875,1240,2750.3128792856951
648,22,GG22: Crypto Advocacy,0x0ff0fded33a0028c4c1af4286fac5d8f9f3ec3932f3fb7543acbfa258c6805ed,Coin Center,19990.875,113,507.30853433270568
648,22,GG22: Crypto Advocacy,0x36074bb0f7a2b40acd42a82a58c2ca5087c7d10475d2e55e652c42028bea2c4c,Satoshi Action Fund,8572.786880624999,56,51.158692689612508
648,22,GG22: Crypto Advocacy,0xccdbd48c4f32f1fd7c409bbcf048f19a0184ad58859a1fa1b54eefb77a7d47d8,Bitcoin Voter Project,2074.952870625,50,46.391553968423977
648,22,GG22: Crypto Advocacy,0x0e6e052755b3c84f67c71addbf921576bacb6ca1e8c66ad740e1733ff63e2f2a,Blockchain Foundation,11599.105492499999,29,41.921647296287119
648,22,GG22: Crypto Advocacy,0xb0e9902fea0e4efe301f7e97b427284890e3822833d70eebd136857be83cca35,Decentralization Research Center,8494.422650625,58,104.91786654759198
646,22,Youth In Need,0x6313c54d9811409f7515658600078f28b48a93284e70ae5114e1c63f0d5cc091,AYOWECCA UGANDA,2804.0551493398434,53,496.39709607604891
646,22,Youth In Need,0x64510f5dfd7ff2973c92a19834236b818108b5daae1b40ff7d7e218cd2324380,Alkaml Youth Institute,0.0,22,54.33690457046032
646,22,Youth In Need,0x713d0639fff735a23ed277abbf0fd9455318d897758c059660a96ba5ba857a5e,New Hope Kids Shelter in Ecuador,3496.7130140234376,43,1682.2981168534607
646,22,Youth In Need,0xf5b7e3c70c0c255d60a6aaf4057966d65267987e49cc9648a1a1ba35aaf02d9c,Adopt a Tree,379.38513734375005,41,60.530787002295256
646,22,Youth In Need,0x09895628c7c533d76aa14b7d45bf584fec7cb8d89fcdae113cf3fa3be853b0e9,The TechLit Nonprofit,572.87505725195319,32,74.661475853994489
646,22,Youth In Need,0xd799558b643ecf459d0348b2c11fa182c337d5b27e3888f6ad17381ad880fe29,Ayni Educativo,28.94386610546875,29,69.058729166165
646,22,Youth In Need,0x0f64b32b14fdc704b1de6f4a91a2bf3abf43accc2a20e8d626a8015423b5e306,Send vulnerable children to school,3499.8453913105473,49,201.95649576280266
646,22,Youth In Need,0xdcaf7444def837c10043fccd5d7391b81165a5c7f3fb28aff62de073a55fa00d,Polymath Foundation,1921.1622372363281,63,344.37162642553449
